OAKB;Khwaja Rawash, Kabul, Afghanistan
LATI;Rinas, Tirana, Albania
DAAG;Houari Bournediene, Algiers, Algeria
DAAJ;Inedbirenne, Djanet, Algeria
DAAT;Aguenna, Tamanrasset, Algeria
DABB;Les Salines, Annaba, Algeria
DABC;Ain EI Bey, Constantine, Algeria
DAOB;Bouchekif, Tiaret, Algeria
DAOO;Es Senia, Oran, Algeria
DAOR;Leger, Bechar, Algeria
DAUG;Nournerate, Ghardaia, Algeria
DAUH;Oued lrara Apt, Hassi Messaoud, Algeria
DAUL;L'Mekrareg, Laghouat, Algeria
DAUO;Guemar, El Oued, Algeria
DAUU;Ain Beida, Ouargla, Algeria
FNBG;GV Deslandes, Benguela, Angola
FNHU;Huambo Nova Lisboa, Huambo, Angola
FNLU;4 de Fevereiro, Luanda, Angola
SAAC;Concordia Aerodrome, Concordia, Argentina
SAAJ;Junin Aerodrome, Junin, Argentina
SAAP;Parana Aerodrome, Parana, Argentina
SAAR;Fisherton, Rosario, Argentina
SABE;Airport Jorge Newbery, Buenos Aires, Argentina
SACO;Pajas Blancas, Cordoba, Argentina
SADL;La Plata Aerodrome, La Plata, Argentina
SAEZ;Ministro Pistarini, Buenos Aires, Argentina
SAME;EI Plumerillo, Mendoza, Argentina
SAMI;Chapelco, San Martin Del-os Andes, Argentina
SAMM;Malargue Aerodrome, Malargue, Argentina
SAMR;San Rafael Aerodrome, San Rafael, Argentina
SAMS;International, San Carlos DeBariloche, Argentina
SANE;Santiago Del Estero Aerodrome, Santiago Del Estero, Argentina
SANT;Benj Matienzo, Tueuman, Argentina
SANU;San Juan Aerodrome, San Juan, Argentina
SAOC;Rio Cuarto Aerodrome, Rio Cuarto, Argentina
SAOD;Villa Dolores Aerodrome, Villa Dolores, Argentina
SAOU;San Luis Aerodrome, San Luis, Argentina
SARC;Camba Punta, Corrientes, Argentina
SARE;Resistencia Aerodrome, Resistencia, Argentina
SARF;EI Pucu, Formosa, Argentina
SARI;Cataratas del Iguazu, lguazu, Argentina
SARL;Paso De Los Libres Aerodrome, Paso De Los Libres, Argentina
SARM;Seelb, Monte Caseros, Argentina
SARP;Posadas Aerodrome, Posadas, Argentina
SARS;Presidencia Roque Saenz Pena Aerodrome, Pres. Roque Saenz Pena, Argentina
SASA;Gen Belgrano, Salta, Argentina
SASJ;El Cadilial, Jujuy, Argentina
SASO;Oran Aerodrome, Oran, Argentina
SAST;Tartagal Aerodrome, Tartagal, Argentina
SAVC;Comodoro Rivadavia Aerodrome, Comodoro Rivadavia, Argentina
